交易 #,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累積損益 TWD,累積損益 %
4885,多頭出場,2025-02-06 00:00,L_Exit_G,23278,1,1159900,3960,0.34,4030,0.35,-2170,-0.19,1829640,457.41
4885,多頭進場,2025-02-05 22:30,L_Add,23198,1,1159900,3960,0.34,4030,0.35,-2170,-0.19,1829640,457.41
4886,多頭出場,2025-02-06 00:05,L_Exit_Add,23300,1,1160450,4510,0.39,4580,0.39,-20,0.00,1834150,458.54
4886,多頭進場,2025-02-05 23:25,L_Add,23209,1,1160450,4510,0.39,4580,0.39,-20,0.00,1834150,458.54
4887,多頭出場,2025-02-06 00:05,L_Exit_G,23300,1,1161950,3010,0.26,3080,0.27,-1070,-0.09,1837180,459.30
4887,多頭進場,2025-02-05 23:30,L_G_進,23239,1,1161950,3010,0.26,3080,0.27,-1070,-0.09,1837180,459.30
4888,多頭出場,2025-02-06 00:05,L_Exit_G,23300,1,1162450,2510,0.22,2580,0.22,-1220,-0.10,1839710,459.93
4888,多頭進場,2025-02-05 23:40,L_G_進,23249,1,1162450,2510,0.22,2580,0.22,-1220,-0.10,1839710,459.93
4889,多頭出場,2025-02-06 00:10,L_Exit_Add,23306,1,1163100,2160,0.19,2230,0.19,-120,-0.01,1841870,460.47
4889,多頭進場,2025-02-06 00:05,L_G_進,23262,1,1163100,2160,0.19,2230,0.19,-120,-0.01,1841870,460.47
4890,多頭出場,2025-02-06 02:55,L_Add_BE,23316,1,1164800,960,0.08,3230,0.28,-1670,-0.14,1842790,460.70
4890,多頭進場,2025-02-06 00:10,L_Add,23296,1,1164800,960,0.08,3230,0.28,-1670,-0.14,1842790,460.70
4891,多頭出場,2025-02-06 02:55,L_Add_BE,23316,1,1166050,-290,-0.02,1980,0.17,-770,-0.07,1842520,460.63
4891,多頭進場,2025-02-06 00:40,L_Add,23321,1,1166050,-290,-0.02,1980,0.17,-770,-0.07,1842520,460.63
4892,多頭出場,2025-02-06 02:55,L_Add_BE,23316,1,1166450,-690,-0.06,1580,0.14,-920,-0.08,1841850,460.46
4892,多頭進場,2025-02-06 00:55,L_Add,23329,1,1166450,-690,-0.06,1580,0.14,-920,-0.08,1841850,460.46
4893,多頭出場,2025-02-06 04:15,L_G_Cut,23322,1,1166800,-740,-0.06,1230,0.11,-1270,-0.11,1841130,460.28
4893,多頭進場,2025-02-06 01:00,L_G_進,23336,1,1166800,-740,-0.06,1230,0.11,-1270,-0.11,1841130,460.28
4894,多頭出場,2025-02-06 09:35,L_Exit,23299,1,1167750,-2840,-0.24,1130,0.10,-2820,-0.24,1838290,459.57
4894,多頭進場,2025-02-06 09:05,L_Cmd,23355,1,1167750,-2840,-0.24,1130,0.10,-2820,-0.24,1838290,459.57
4895,多頭出場,2025-02-06 13:20,Trend Rev,23271,1,1165250,-1740,-0.15,1130,0.10,-2120,-0.18,1836550,459.14
4895,多頭進場,2025-02-06 12:30,L_Cmd,23305,1,1165250,-1740,-0.15,1130,0.10,-2120,-0.18,1836550,459.14
4896,多頭出場,2025-02-06 22:40,Trend Rev,23295,1,1166250,-1540,-0.13,230,0.02,-2370,-0.20,1835010,458.75
4896,多頭進場,2025-02-06 22:30,L_Cmd,23325,1,1166250,-1540,-0.13,230,0.02,-2370,-0.20,1835010,458.75
4897,多頭出場,2025-02-06 23:25,Trend Rev,23290,1,1165750,-1290,-0.11,330,0.03,-1520,-0.13,1833720,458.43
4897,多頭進場,2025-02-06 23:15,L_Cmd,23315,1,1165750,-1290,-0.11,330,0.03,-1520,-0.13,1833720,458.43
